u1810	u17561
u1811	u27591
u1812	u449
u1813	u6587
u37498	u24228
u37499	u25
u1816	u556
u1817	u3554
u37494	u25
u37495	u25
u37496	u25
u37497	u25
u37490	u25
u37491	u25
u37492	u25
u37493	u25
u1814	u2043
u1815	u18147
u18156	.
u18157	u449
u18154	u55
u18155	.
u18152	u19886
u18153	.
u18150	.
u18151	.
u18158	u449
u18159	u1631
u16118	u27016
u16119	u4168
u16114	.
u16115	u27
u16116	u970
u16117	.
u16110	.
u16111	.
u16112	.
u16113	u7185
u7221	u25
u7220	.
u7223	u191
u7222	u7491
u7225	u477
u7224	u17454
u7227	u25674
u7226	u556
u7229	u374
u7228	.
u34219	.
u34218	.
u13183	u1970
u21611	u449
u21610	.
u21613	.
u21612	u7185
u21615	.
u21614	u55
u21617	u20
u2544	.
u21619	.
u21618	.
u33975	.
u2548	u3554
u33973	.
u33972	.
u33971	.
u33970	.
u39303	.
u29448	u39031
u29449	.
u29444	u11252
u29445	u39033
u29446	.
u7907	u7208
u29440	u2701
u29441	.
u29442	u35071
u29443	.
u8874	u410
u35430	.
u39300	u449
u33833	.
u30442	u16
u30443	u27451
u30440	u16
u30441	u16
u11469	u581
u11468	u16
u30444	u19923
u30445	u449
u11465	u6565
u11464	u943
u11467	.
u35431	.
u11461	u6587
u11460	u27016
u11463	.
u11462	.
u35432	.
u3504	u5794
u7913	u18548
u7912	.
u7911	u991
u7910	u1442
u7917	u27
u7916	.
u7915	u27591
u7914	u191
u27514	u3823
u27515	u27240
u7919	u27016
u27517	u374
u27510	u39053
u27511	u2043
u27512	u25
u27513	u24354
u3505	u16
u6535	u3554
u9519	u2008
u9518	u2008
u498	u16596
u499	u27016
u9511	.
u9510	u4687
u496	u27016
u497	u27016
u490	.
u9514	u27
u492	u16
u9516	u16
u16233	.
u1986	u2619
u33326	.
u22	u944
u8188	u16
u6532	u16596
u23	u16596
u28	u20
u15253	u165
u20982	.
u20983	.
u20980	.
u20981	.
u20986	.
u20987	u23004
u20984	.
u20985	.
u20988	u4135
u20989	.
u8187	u16596
u33329	.
u29237	.
u9855	u24369
u29235	.
u29234	u16
u29233	.
u29232	u1095
u6639	u16
u6638	.
u9852	u449
u6631	u7180
u6630	u3250
u6633	.
u6632	u5794
u6635	u3278
u6634	u7300
u6637	.
u6636	u25207
u1177	u16596
u1176	u27016
u1175	u7099
u1174	u8200
u1173	u16
u1172	u27016
u1171	u4138
u1170	u2043
u1179	u27016
u1178	u19886
u23983	u1536
u23982	u24204
u23981	u19854
u23980	.
u23987	.
u23986	u16
u23985	u27
u23984	u38997
u23989	u27
u23988	.
u14239	u25
u14238	u29509
u12172	u7529
u12173	u6839
u1981	u970
u12171	u3445
u12176	u2619
u12177	u2134
u12174	u7986
u12175	u8572
u33836	.
u12178	u16
u12179	u17713
u34213	.
u34212	u45259
u5595	u2521
u34211	.
u937	u16596
u936	u16
u935	u16
u934	u4485
u933	u7059
u932	.
u931	u4498
u930	u6587
u34217	u7560
u939	u1631
u938	u556
u29927	u16596
u34215	.
u34214	.
u8457	u22149
u29926	u22910
u1383	u8263
u4377	.
u1865	u410
u4374	u449
u24241	u7916
u4375	.
u24240	.
u8453	u944
u24243	.
u44858	u449
u24242	.
u8451	u16781
u1864	u1041
u18567	.
u8450	u16
u24244	.
u16809	u27
u24247	.
u24246	u2472
u29924	u2043
u33410	u9863
u33411	u449
u33412	u449
u33413	u7128
u4378	u16
u33414	u991
u8458	.
u33415	u991
u1866	u37868
u33416	u25
u33417	u991
u22214	u25
u22215	.
u22216	u991
u22217	u991
u22210	.
u22211	.
u22212	.
u22213	.
u22218	.
u22219	u991
u2543	u2008
u2542	u27016
u2541	u24650
u2540	u22530
u6821	.
u2547	u260
u2546	u27016
u2545	.
u21616	u4485
u33977	.
u33976	.
u2549	u21429
u33974	u43889
u9583	u39784
u35157	u25
u33834	.
u6164	u1041
u35155	u25
u6166	u4870
u6161	u25873
u6160	.
u35151	u25
u35150	u25
u23165	.
u23164	.
u23167	.
u23166	.
u23161	.
